Name,Column 16,Latitude,Longitude,Status,IUC,Race,State,Denomination,Expenditure,LT_Invest,Faculty_FT,Faculty_FTE,Enrollment_HC,Enrollment_FTE,MDiv Tuitition
The King's Seminary at The King's University,"32.9395450365589, -97.12155899528372",32.93954504,-97.121559,ACCRED,U,W,TX,Inter/Multidenominational,"4,622",0,9,12,240,124,"10,395"
McGill University School of Religious Studies,"45.506553866162186, -73.5773675910652",45.50655387,-73.57736759,ACCRED,U,N,QC,Inter/Multidenominational,"1,433",19.4,21,25,2,2,0
Mid-America Reformed Seminary,"41.51768257160227, -87.51942136795884",41.51768257,-87.51942137,ACCRED,I,W,IN,Inter/Multidenominational,"2,836",0.5,5,7,32,34,"12,686"
Missio Theological Seminary,"39.95883828697986, -75.14999191644715",39.95883829,-75.14999192,ACCRED,I,V,PA,Inter/Multidenominational,"1,268",3.3,4,4,19,10,"14,000"
Northeastern Seminary at Roberts Wesleyan University,"43.12285766995819, -77.80076287583135",43.12285767,-77.80076288,ACCRED,C,N,NY,Inter/Multidenominational,"1,913",4.4,3,8,200,101,"15,490"
Oral Roberts University Graduate School of Theology and Ministry,"36.05081794668469, -95.9527962166045",36.05081795,-95.95279622,ACCRED,U,N,OK,Inter/Multidenominational,"6,293",0.3,18,30,459,288,"14,180"
Pacific School of Religion,"37.87663060331936, -122.2632308644111",37.8766306,-122.2632309,ACCRED,I,W,CA,Inter/Multidenominational,"8,693",61,8,9,138,90,"19,680"
Palm Beach Atlantic University School of Ministry Graduate Department,"26.70313322631859, -80.05276945696484",26.70313323,-80.05276946,ACCRED,U,N,FL,Inter/Multidenominational,930,0.6,12,12,150,94,"14,178"
Portland Seminary of George Fox University,"45.42798213928003, -122.74753165853336",45.42798214,-122.7475317,ACCRED,C,W,OR,Inter/Multidenominational,"2,122",5,7,8,341,263,"13,084"
Providence Theological Seminary,"49.50190582582214, -97.0457181485441",49.50190583,-97.04571815,ACCRED,C,W,MB,Inter/Multidenominational,"2,592",0,8,10,149,66,"12,738"
Reformed Theological Seminary,"32.34922257414218, -90.15136887500901",32.34922257,-90.15136888,ACCRED,I,W,MS,Inter/Multidenominational,"31,068",83.5,30,30,"1,022",520,"21,365"
Regent College,"49.26554295656194, -123.24400600067747",49.26554296,-123.244006,ACCRED,I,W,BC,Inter/Multidenominational,"10,613",30.9,12,25,319,141,"11,665"
